State,2010,2011,2012,2013,2014,2015
AK,"54,395","58,520","65,679","68,868","73,824",74606
AL,548,"1,810","6,453","11,748","13,750",11465
AR,"1,318","1,144",126,"1,078","2,787",6966
AZ,"24,411","32,849","44,793","59,074","80,134",74998
CA,"2,198,550","2,166,028","2,272,664","2,383,323","2,328,512",2173320
CO,"2,279,812","2,277,202","2,290,800","2,177,095","2,207,491",2082879
CT,"6,823","8,034","6,850","20,486","33,903",38094
DC,0,"1,366","4,258","5,934","8,336",8925
DE,"48,118","57,887","65,524","75,629","82,038",83490
FL,"1,247,065","1,287,687","1,289,450","1,260,335","1,241,153",1243754
GA,"518,568","482,678","480,930","545,302","489,156",462769
HI,"15,489","19,606","19,391","18,108","21,582",25424
IA,"3,780","6,321","8,572","13,244","21,013",15321
ID,"6,785","7,750","11,317","15,295","17,478",16865
IL,"63,152","64,148","60,574","68,420","145,366",213970
IN,"23,056","36,461","48,867","61,510","66,607",64930
KS,"3,107","5,671","4,768","6,126","7,419",8041
KY,"8,191","9,277","11,796","19,417","24,063",30952
LA,"43,768","53,422","56,196","62,680","69,443",71502
MA,"98,122","119,863","131,475","126,520","128,549",148309
MD,"29,123","38,255","46,213","52,907","56,887",64705
ME,"58,016","77,600","97,286","110,683","116,007",117491
MI,"118,799","148,703","185,386","227,415","297,520",329356
MN,"79,535","101,033","115,956","133,103","154,950",153516
MO,"1,183,200","1,119,508","1,019,244","942,359","885,636",881308
MS,"5,258","6,868","6,482","6,907","7,726",5999
MT,"41,261","46,957","50,173","53,795","58,652",52553
NC,"903,893","1,010,648","1,054,977","988,300","971,612",951036
ND,"5,689","7,001",0,481,"2,601",3457
NE,"341,518","364,001","7,245","3,840","13,754",10422
NH,"544,599","559,276","365,464","381,403","367,977",347828
NJ,"7,838","10,594","502,681","443,199","447,844",422379
NM,"14,741","7,872","12,803","15,093","21,957",21870
NV,"583,311","604,493","4,994","5,703","8,086",5037
NY,"2,033,530","1,886,887","668,632","674,240","595,192",588032
OH,"3,396","4,025","1,790,342","1,726,012","1,641,541",1616581
OK,"341,505","357,253","4,827","4,841","6,110",4539
OR,"998,173","1,081,543","372,970","409,397","473,419",480637
PA,"3,237","3,371","1,168,462","1,172,567","1,244,734",1156460
RI,"7,559","11,770","4,104","5,174","4,551",3969
SC,586,"1,238","15,832","18,103","19,762",19269
SD,"12,989","17,597","1,522","1,754","1,924",2407
TN,"1,143,882","1,152,638","28,388","31,767","60,754",87078
TX,"29,195","34,548","1,144,586","1,037,500","1,056,368",1026861
UT,"1,152,090","1,165,692","43,143","45,938","51,425",54961
VA,"105,473","91,368","1,175,467","1,134,450","1,048,495",1017631
VT,"195,437","218,672","98,155","98,852","93,532",89387
WA,"1,130,526","981,226","240,104","274,424","296,950",289198
WI,"2,582","3,265","1,038,914","1,071,651","1,066,194",936633
WV,"3,852","5,056","3,702","4,526","5,161",6640
WY,"3,852","5,056","5,752","7,217","8,379",9358
