Year,Barrels (31 gallons) (2),Number of Breweries (1),Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6)
2016,"1,000,001 Barrels+",14,"131,659,359.17","119,774,531.97","5,066,076.38"
2016,"1,000,001 Barrels+",7,"26,452,765.43","25,147,830.59","898,290.35"
2016,"1,000,001 Barrels+",4,"4,999,263.95","4,994,536.90","47,250.18"
2016,"500,001 to 1,000,000 Barrels",6,"4,293,996.90","4,014,943.39","4,748.99"
2016,"100,001 to 500,000 Barrels",45,"10,469,048.22","8,618,323.45","276,289.46"
2016,"60,001 to 100,000 Barrels",38,"3,052,311.48","2,395,062.26","48,970.93"
2016,"30,001 to 60,000 Barrels",53,"2,329,947.35","2,069,205.94","85,136.87"
2016,"15,001 to 30,000 Barrels",75,"1,577,515.39","1,341,223.91","37,302.60"
2016,"7,501 to 15,000 Barrels",148,"1,550,640.42","1,351,541.96","11,813.32"
2016,"1,001 to 7,500 Barrels",935,"2,461,722.99","2,282,897.14","13,608.25"
2016,"1 to 1,000 Barrels ","3,283","993,337.92","864,097.20",889.04
2016,Under 1 Barrel,488,4.43,"102,983.40",601.98
